audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,4Vn7TykT27PIygBiZjTR2s,spotify:track:4Vn7TykT27PIygBiZjTR2s,https://api.spotify.com/v1/tracks/4Vn7TykT27PIygBiZjTR2s,https://api.spotify.com/v1/audio-analysis/4Vn7TykT27PIygBiZjTR2s,391376,4
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
0.574,0.628,2,-8.815,0,0.036,0.13,0,0.271,0.803,153.119,audio_features,4jDmJ51x1o9NZB5Nxxc7gY,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,https://api.spotify.com/v1/tracks/4jDmJ51x1o9NZB5Nxxc7gY,https://api.spotify.com/v1/audio-analysis/4jDmJ51x1o9NZB5Nxxc7gY,300107,4
0.704,0.818,3,-5.907,0,0.0518,0.0731,0.102,0.272,0.644,124.969,audio_features,3tEaG6sQONXxHNdiPo7gni,spotify:track:3tEaG6sQONXxHNdiPo7gni,https://api.spotify.com/v1/tracks/3tEaG6sQONXxHNdiPo7gni,https://api.spotify.com/v1/audio-analysis/3tEaG6sQONXxHNdiPo7gni,160800,4
0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0701,0.74,117.401,audio_features,5C0LFQARavkPpn7JgA4sLk,spotify:track:5C0LFQARavkPpn7JgA4sLk,https://api.spotify.com/v1/tracks/5C0LFQARavkPpn7JgA4sLk,https://api.spotify.com/v1/audio-analysis/5C0LFQARavkPpn7JgA4sLk,253250,4
0.724,0.822,1,-4.374,0,0.0333,0.304,0.0000138,0.0553,0.964,99.9,audio_features,0NJdtoQ3RX5ckBjJlNXhlP,spotify:track:0NJdtoQ3RX5ckBjJlNXhlP,https://api.spotify.com/v1/tracks/0NJdtoQ3RX5ckBjJlNXhlP,https://api.spotify.com/v1/audio-analysis/0NJdtoQ3RX5ckBjJlNXhlP,242733,4
0.768,0.852,4,-6.215,1,0.038,0.214,0.0000736,0.0723,0.867,128.373,audio_features,07q0QVgO56EorrSGHC48y3,spotify:track:07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/tracks/07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/audio-analysis/07q0QVgO56EorrSGHC48y3,271240,4
0.661,0.581,1,-8.341,0,0.0298,0.436,0.0000807,0.113,0.292,134.976,audio_features,2klEWiRhxVFBm0oKc3PZtJ,spotify:track:2klEWiRhxVFBm0oKc3PZtJ,https://api.spotify.com/v1/tracks/2klEWiRhxVFBm0oKc3PZtJ,https://api.spotify.com/v1/audio-analysis/2klEWiRhxVFBm0oKc3PZtJ,178222,4
0.472,0.373,3,-12.98,1,0.0262,0.872,0.206,0.147,0.459,135.193,audio_features,2JWKzkQbYsNzx019WyGzaH,spotify:track:2JWKzkQbYsNzx019WyGzaH,https://api.spotify.com/v1/tracks/2JWKzkQbYsNzx019WyGzaH,https://api.spotify.com/v1/audio-analysis/2JWKzkQbYsNzx019WyGzaH,288267,4
