id,song_name,artist,pic_url,preview_url,release_year
4Vn7TykT27PIygBiZjTR2s,Hotel California - 2013 Remaster,Eagles,https://i.scdn.co/image/ab67616d0000b273061849da201f99053bf5e788,https://p.scdn.co/mp3-preview/6fedc11d0f55bef176cc1c5725ac1c57f9a2534a?cid=f4f54a850da14f27a6e2b44603fe8013,2003
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,https://p.scdn.co/mp3-preview/ed66a8c444c35b2f5029c04ae8e18f69d952c2bb?cid=f4f54a850da14f27a6e2b44603fe8013,1985
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Michael Jackson,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,https://p.scdn.co/mp3-preview/0f6b8a3524ec410020457da4cdd7717f9addce2f?cid=f4f54a850da14f27a6e2b44603fe8013,2008
4jDmJ51x1o9NZB5Nxxc7gY,Careless Whisper,George Michael,https://i.scdn.co/image/ab67616d0000b27364c19b24ce947ffa363f8f96,https://p.scdn.co/mp3-preview/426887696731457a0929786ea5c69ed154d6aea8?cid=f4f54a850da14f27a6e2b44603fe8013,1998
3tEaG6sQONXxHNdiPo7gni,Secrets,Paul Damixie,https://i.scdn.co/image/ab67616d0000b273bd234b3098343c7fd6bdba61,https://p.scdn.co/mp3-preview/6979f8e164eb9aab70b020a81a8cac20e533f692?cid=f4f54a850da14f27a6e2b44603fe8013,2023
5C0LFQARavkPpn7JgA4sLk,Every Breath You Take - Remastered 2003,The Police,https://i.scdn.co/image/ab67616d0000b27307ea1b7ac092119e1b6dd57b,,1983
0NJdtoQ3RX5ckBjJlNXhlP,La Isla Bonita,Madonna,https://i.scdn.co/image/ab67616d0000b273f9917b67a03e66091a083595,https://p.scdn.co/mp3-preview/42485e5c4b0cd6dd1fb57b461a3cbe4f74bfc5e9?cid=f4f54a850da14f27a6e2b44603fe8013,1986
07q0QVgO56EorrSGHC48y3,I Was Made For Lovin' You,KISS,https://i.scdn.co/image/ab67616d0000b2734384b6976cadaec272114022,,1979
2klEWiRhxVFBm0oKc3PZtJ,Days Of Summer,Smiley,https://i.scdn.co/image/ab67616d0000b2735f6a1cf34ca5415a983e0dcd,https://p.scdn.co/mp3-preview/9bcbacf08072b5dd84897711941193f8ac614524?cid=f4f54a850da14f27a6e2b44603fe8013,2023
2JWKzkQbYsNzx019WyGzaH,I Don't Want to Talk About It - 2008 Remaster,Rod Stewart,https://i.scdn.co/image/ab67616d0000b273b71df8eef79beb0e9d937144,https://p.scdn.co/mp3-preview/b138ee402b328f5b144c3bbfa97e6a2659cd836d?cid=f4f54a850da14f27a6e2b44603fe8013,1975
1SxtJ1p2EH3TC8dVzDlN33,Drip,Paul Damixie,https://i.scdn.co/image/ab67616d0000b27320b615f0b42408683fb46f42,https://p.scdn.co/mp3-preview/0727cec82261d85c8395afbc269558746fe48e4f?cid=f4f54a850da14f27a6e2b44603fe8013,2023
0yhDca7Z4TOiEejtAx6R3g,Sacrifice,Elton John,https://i.scdn.co/image/ab67616d0000b273d3a4359de062677ffd7304aa,,1989
74RaktuxaKNMg6xDGQj95S,Everybody Wants To Rule The World,Tears For Fears,https://i.scdn.co/image/ab67616d0000b273283d70358904fa7308b82d60,,2010
1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,Queen,https://i.scdn.co/image/ab67616d0000b273a461aa96bd9a8fcd0a492aee,,1975
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,https://i.scdn.co/image/ab67616d0000b27352f532df7ba3269b0242fed9,https://p.scdn.co/mp3-preview/d8dc4f720786902e4b84fe1130c35bb74398edfa?cid=f4f54a850da14f27a6e2b44603fe8013,1983
71UL6pUMZUlU2u10gnhqPf,I'm Done,Paul Damixie,https://i.scdn.co/image/ab67616d0000b273bef9b5540757c7eee75c6196,https://p.scdn.co/mp3-preview/6ae399c20c0a3569425f394ad5e1b9d6e5e93c76?cid=f4f54a850da14f27a6e2b44603fe8013,2023
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,,1986
01iyCAUm8EvOFqVWYJ3dVX,Dancing Queen,ABBA,https://i.scdn.co/image/ab67616d0000b2739aa209383c254c9e23e7f909,,1976
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Guns N' Roses,https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60,,1987
3LTMnFa0hhwisyq6ILahyj,Sultans Of Swing,Dire Straits,https://i.scdn.co/image/ab67616d0000b2734b0bf4cad684e0b9edc932ea,,1978
4uLU6hMCjMI75M1A2tKUQC,Never Gonna Give You Up,Rick Astley,https://i.scdn.co/image/ab67616d0000b273255e131abc1410833be95673,,1987
2vEQ9zBiwbAVXzS2SOxodY,Nothing's Gonna Stop Us Now,Starship,https://i.scdn.co/image/ab67616d0000b2732e6fa92a6e6da0de1289027f,,1987
5dRQUolXAVX3BbCiIxmSsf,Your Love,The Outfield,https://i.scdn.co/image/ab67616d0000b27301ed248b4ac01c868e688322,https://p.scdn.co/mp3-preview/70ba0126426a961829911794993a07c520a95d96?cid=f4f54a850da14f27a6e2b44603fe8013,1985
2aEuA8PSqLa17Y4hKPj5rr,Cheri Cheri Lady,Modern Talking,https://i.scdn.co/image/ab67616d0000b273aedd9728f5cc4b13ee49e061,https://p.scdn.co/mp3-preview/f62892f987c395c6bc44892ce8f415ab27c7a61e?cid=f4f54a850da14f27a6e2b44603fe8013,1985
