id,song_name,artist,pic_url,preview_url,release_year,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1H5IfYyIIAlgDX8zguUzns,Suspicious Minds,Elvis Presley,https://i.scdn.co/image/ab67616d0000b273fdc0aa7765f3197ac9179ec7,https://p.scdn.co/mp3-preview/e7072dbcb87f4c8c62f2dab5daa22be4a6eccb9b?cid=f4f54a850da14f27a6e2b44603fe8013,1969,1960,0.487,0.382,7,-10.889,1,0.0309,0.0422,4.74e-06,0.411,0.714,116.557,audio_features,spotify:track:1H5IfYyIIAlgDX8zguUzns,https://api.spotify.com/v1/tracks/1H5IfYyIIAlgDX8zguUzns,https://api.spotify.com/v1/audio-analysis/1H5IfYyIIAlgDX8zguUzns,261280,4
2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,Ray Charles,https://i.scdn.co/image/ab67616d0000b273f0e951707ca49b533fdbf64e,https://p.scdn.co/mp3-preview/425d081433204c6ded4ae8f852ee89e5d5bcdc0d?cid=f4f54a850da14f27a6e2b44603fe8013,1957,1950,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,audio_features,spotify:track:2xar08Fq5xra2KKZs5Bw9j,https://api.spotify.com/v1/tracks/2xar08Fq5xra2KKZs5Bw9j,https://api.spotify.com/v1/audio-analysis/2xar08Fq5xra2KKZs5Bw9j,171467,4
64VP3skE86iTvdOlbzuIcO,Great Balls Of Fire,Jerry Lee Lewis,https://i.scdn.co/image/ab67616d0000b27395788c15edfdca94ad6fa6ab,,1961,1960,0.533,0.729,7,-7.227,0,0.0714,0.563,0.0,0.159,0.884,78.67,audio_features,spotify:track:64VP3skE86iTvdOlbzuIcO,https://api.spotify.com/v1/tracks/64VP3skE86iTvdOlbzuIcO,https://api.spotify.com/v1/audio-analysis/64VP3skE86iTvdOlbzuIcO,111536,4
6C7aTTCUWRK7dD379yUT3W,Roll Over Beethoven,Chuck Berry,https://i.scdn.co/image/ab67616d0000b273a496dc8c33ca6d10668b3157,,1959,1950,0.715,0.797,3,-10.154,1,0.193,0.837,0.0,0.209,0.841,92.739,audio_features,spotify:track:6C7aTTCUWRK7dD379yUT3W,https://api.spotify.com/v1/tracks/6C7aTTCUWRK7dD379yUT3W,https://api.spotify.com/v1/audio-analysis/6C7aTTCUWRK7dD379yUT3W,144600,4
3YdKJzcoMZMacISlpY4QoP,I Only Have Eyes for You,The Flamingos,https://i.scdn.co/image/ab67616d0000b2731ba2d22b62756c8c2d579c14,https://p.scdn.co/mp3-preview/8b14a85d40cb09317394770b12a3420b5e3a53b2?cid=f4f54a850da14f27a6e2b44603fe8013,1959,1950,0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554,audio_features,spotify:track:3YdKJzcoMZMacISlpY4QoP,https://api.spotify.com/v1/tracks/3YdKJzcoMZMacISlpY4QoP,https://api.spotify.com/v1/audio-analysis/3YdKJzcoMZMacISlpY4QoP,202773,3
5OkKOkdVTKFrYi6GWXkMzR,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,Dean Martin,https://i.scdn.co/image/ab67616d0000b2732f13fcfe011d340e9c69923e,,1958,1950,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,0.343,128.629,audio_features,spotify:track:5OkKOkdVTKFrYi6GWXkMzR,https://api.spotify.com/v1/tracks/5OkKOkdVTKFrYi6GWXkMzR,https://api.spotify.com/v1/audio-analysis/5OkKOkdVTKFrYi6GWXkMzR,181627,4
4hHbeIIKO5Y5uLyIEbY9Gn,Come Fly With Me - Remastered 1998,Frank Sinatra,https://i.scdn.co/image/ab67616d0000b273068a5559744d17bd5e871740,,1958,1950,0.574,0.338,6,-11.376,1,0.042,0.845,0.0,0.165,0.493,67.008,audio_features,spotify:track:4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/tracks/4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/audio-analysis/4hHbeIIKO5Y5uLyIEbY9Gn,199093,4
2fDHuS1PTkHBbCWWZF1ph9,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,https://i.scdn.co/image/ab67616d0000b2734a04593b7c149dc7b725683e,https://p.scdn.co/mp3-preview/3ec9ecc3476af893db9c60c71ed8661ec32391bd?cid=f4f54a850da14f27a6e2b44603fe8013,1968,1960,0.621,0.524,0,-15.269,1,0.0803,0.0652,0.00199,0.893,0.889,110.586,audio_features,spotify:track:2fDHuS1PTkHBbCWWZF1ph9,https://api.spotify.com/v1/tracks/2fDHuS1PTkHBbCWWZF1ph9,https://api.spotify.com/v1/audio-analysis/2fDHuS1PTkHBbCWWZF1ph9,162653,4
5zvOXJrzzUlvXwyuwZ0toZ,Oh! Carol,Neil Sedaka,https://i.scdn.co/image/ab67616d0000b2733843b432892fdff0ffd2c96d,https://p.scdn.co/mp3-preview/c5f586aecbb74729cb4beb34e6d02e938c3d1a6b?cid=f4f54a850da14f27a6e2b44603fe8013,1959,1950,0.728,0.734,11,-3.234,1,0.0318,0.63,3.56e-05,0.137,0.965,135.078,audio_features,spotify:track:5zvOXJrzzUlvXwyuwZ0toZ,https://api.spotify.com/v1/tracks/5zvOXJrzzUlvXwyuwZ0toZ,https://api.spotify.com/v1/audio-analysis/5zvOXJrzzUlvXwyuwZ0toZ,135467,4
0hjYuU2Z9jcKvOl39oUpeE,Diana - Remastered,Paul Anka,https://i.scdn.co/image/ab67616d0000b2737f16eb646e4096177286ebc2,,1959,1950,0.639,0.476,7,-10.921,1,0.0359,0.261,0.0,0.367,0.951,138.347,audio_features,spotify:track:0hjYuU2Z9jcKvOl39oUpeE,https://api.spotify.com/v1/tracks/0hjYuU2Z9jcKvOl39oUpeE,https://api.spotify.com/v1/audio-analysis/0hjYuU2Z9jcKvOl39oUpeE,147760,4
